"qf","plotname","negative","positive","group","meanYes","meanNo","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","p.adj.signif","change"
"F5","F5 Agonistic Threshold","assertive","diffident","gentle",1.067834,0.269992156862745,0.797841843137255,1.067834,0.269992156862745,"z","in","out",5,51,1.44422155137438,0.211,4.77629277765484,-0.642483997040191,2.2381676833147,"T-test","two.sided",0.750857142857143,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","loyal",-0.0686683333333333,0.3904156,-0.459083933333333,-0.0686683333333333,0.3904156,"z","in","out",6,50,-1.34999790658498,0.211,8.80624999429533,-1.23094694667751,0.312779080010845,"T-test","two.sided",0.750857142857143,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","outgoing",0.4458275,0.333181923076923,0.112645576923077,0.4458275,0.333181923076923,"z","in","out",4,52,0.373247241098251,0.721,6.16220375835101,-0.621143106780456,0.84643426062661,"T-test","two.sided",0.894,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","playful",1.0942275,0.215728125,0.878499375,1.0942275,0.215728125,"z","in","out",8,48,1.98826268377321,0.0768,9.34945718769997,-0.115352284573691,1.87235103457369,"T-test","two.sided",0.4812,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","smart",-0.10004,0.461573863636364,-0.561613863636364,-0.10004,0.461573863636364,"z","in","out",12,44,-1.28298307378871,0.219,14.7043883962798,-1.4962723547171,0.373044627444376,"T-test","two.sided",0.750857142857143,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","active",0.4841,-0.381627115384615,0.865727115384615,0.4841,-0.381627115384615,"z","in","out",4,52,3.68667606528003,0.0031,12.0194541952167,0.354177209664089,1.37727702110514,"T-test","two.sided",0.12216,"ns","highly sociable"
"F6","F6 Dog Sociability","less sociable","highly sociable","affectionate",-0.55167,-0.275386808510638,-0.276283191489362,-0.55167,-0.275386808510638,"z","in","out",9,47,-0.81549234791284,0.427,15.4561554306339,-0.996551844091496,0.443985461112773,"T-test","two.sided",0.825230769230769,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","alert",-0.869325,-0.2538452,-0.6154798,-0.869325,-0.2538452,"z","in","out",6,50,-1.07978930805659,0.322,5.96697650736542,-2.01209256338345,0.781132963383445,"T-test","two.sided",0.8,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","bright_clever_intelligent_smart_very smart",-0.197422272727273,-0.398968235294118,0.201545962566845,-0.197422272727273,-0.398968235294118,"z","in","out",22,34,0.682065134700356,0.498,53.5706410546004,-0.390992036554601,0.794083961688291,"T-test","two.sided",0.843157894736842,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","calm",0.747575,-0.401894423076923,1.14946942307692,0.747575,-0.401894423076923,"z","in","out",4,52,1.88250408217834,0.144,3.46996568146618,-0.653024495834662,2.95196334198851,"T-test","two.sided",0.64,"ns","neutral"
